"Site","Location","Rep","Collection.Date","Notes","Original_Liq_CH4_umol","Original_Liq_CO2_umol"
"Deans","top",2,"8/16/2022",NA,0.616795855,109.507894
"Deans","top",3,"8/16/2022",NA,0.549541112,105.1070961
"Deans","bottom",1,"8/16/2022",NA,0.821344052,82.35322602
"Deans","bottom",2,"8/16/2022",NA,0.922734457,107.5775767
"Deans","bottom",3,"8/16/2022",NA,0.905884595,76.84800817
"Deans","outlet",1,"8/16/2022",NA,0.373217678,56.45179114
"Deans","outlet",2,"8/16/2022",NA,0.370443344,47.79818203
"Deans","outlet",3,"8/16/2022",NA,0.188193957,46.22161704
"Sister3","inlet",1,"8/23/2022",NA,0.02298135,79.56319424
"Sister3","inlet",2,"8/23/2022",NA,0.022852921,66.52443773
"Sister3","inlet",3,"8/23/2022",NA,0.022887652,79.61978636
"Sister3","top",1,"8/23/2022",NA,0.836065733,35.04321331
"Sister3","top",2,"8/23/2022",NA,0.852368214,42.59310815
"Sister3","top",3,"8/23/2022",NA,0.857282538,43.22018374
"Sister3","outlet",1,"8/23/2022",NA,2.577804037,76.81075405
"Sister3","outlet",2,"8/23/2022",NA,2.701648818,77.13112862
"Sister3","outlet",3,"8/23/2022",NA,2.575949146,91.55075252
"Deans","outlet",1,"8/31/2022",NA,3.439898675,203.7263133
"Deans","outlet",2,"8/31/2022",NA,4.193837738,134.9435606
"Deans","outlet",3,"8/31/2022",NA,5.300593743,121.4775509
"Deans","top",1,"8/31/2022",NA,0.218236597,56.10191328
"Deans","top",2,"8/31/2022",NA,2.500076252,71.15992819
"Deans","top",3,"8/31/2022",NA,0.220857166,59.57587147
"Deans","bottom",1,"8/31/2022",NA,0.227643625,31.93584269
"Deans","bottom",2,"8/31/2022",NA,0.294561842,44.41186177
"Deans","bottom",3,"8/31/2022",NA,0.346764917,33.53033075
"Catfish","inlet",3,"9/6/2022",NA,0.774181301,140.0362115
"Catfish","inlet",2,"9/6/2022",NA,0.632731856,134.7898013
"Catfish","inlet",1,"9/6/2022",NA,0.385824315,146.9589813
