"","Trap","Emptied","period","eb_start","eb_end","gas_start","gas_end","gas_accumulated","time_accumulated","time_hr","Site"
"1","C1A","No","NA~0",NA,"2022-09-06 09:22:00",NA,0,NA,NA,NA,"Catfish"
"2","C1A","No","0~1","2022-09-06 09:22:00","2022-09-06 10:05:36",0,0,0,"2616.55499982834s (~43.61 minutes)",0.72682083328565,"Catfish"
"3","C1A","No","1~2","2022-09-06 10:05:36","2022-09-06 13:01:52",0,0,0,"10576.1050000191s (~2.94 hours)",2.93780694444974,"Catfish"
"4","C1A","No","2~3","2022-09-06 13:01:52","2022-09-06 15:53:26",0,0,0,"10293.9990000725s (~2.86 hours)",2.8594441666868,"Catfish"
"5","C1A","No","3~4","2022-09-06 15:53:26","2022-09-06 18:56:26",0,0.3,0.3,"10980.1290001869s (~3.05 hours)",3.05003583338526,"Catfish"
"6","C1A","No","4~5","2022-09-06 18:56:26","2022-09-06 21:56:08",0.3,0.2,-0.1,"10781.5029997826s (~2.99 hours)",2.99486194438404,"Catfish"
"7","C1A","No","5~6","2022-09-06 21:56:08","2022-09-07 01:02:01",0.2,0.2,0,"11153.0720000267s (~3.1 hours)",3.09807555556297,"Catfish"
"8","C1A","No","6~7","2022-09-07 01:02:01","2022-09-07 04:11:37",0.2,0.2,0,"11376.0160000324s (~3.16 hours)",3.16000444445345,"Catfish"
"9","C1A","No","7~8","2022-09-07 04:11:37","2022-09-07 07:06:30",0.2,0.3,0.1,"10493.4020001888s (~2.91 hours)",2.91483388894134,"Catfish"
"10","C1A","No","8~9","2022-09-07 07:06:30","2022-09-07 08:34:00",0.3,0.4,0.1,"5249.21899986267s (~1.46 hours)",1.45811638885074,"Catfish"
"11","C1B","No","NA~0",NA,"2022-09-06 09:21:00",NA,0,NA,NA,NA,"Catfish"
"12","C1B","No","0~1","2022-09-06 09:21:00","2022-09-06 10:06:06",0,0.1,0.1,"2706.55499982834s (~45.11 minutes)",0.75182083328565,"Catfish"
"13","C1B","No","1~2","2022-09-06 10:06:06","2022-09-06 13:02:22",0.1,0.6,0.5,"10576.1050000191s (~2.94 hours)",2.93780694444974,"Catfish"
"14","C1B","No","2~3","2022-09-06 13:02:22","2022-09-06 15:53:56",0.6,0.5,-0.1,"10293.9990000725s (~2.86 hours)",2.8594441666868,"Catfish"
"15","C1B","No","3~4","2022-09-06 15:53:56","2022-09-06 18:56:56",0.5,0.7,0.2,"10980.1290001869s (~3.05 hours)",3.05003583338526,"Catfish"
"16","C1B","No","4~5","2022-09-06 18:56:56","2022-09-06 21:56:38",0.7,2.3,1.6,"10781.5029997826s (~2.99 hours)",2.99486194438404,"Catfish"
"17","C1B","No","5~6","2022-09-06 21:56:38","2022-09-07 01:02:31",2.3,0.6,-1.7,"11153.0720000267s (~3.1 hours)",3.09807555556297,"Catfish"
