Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CH4.curve,CH4.conc.ppm,CO2.conc.ppm,Temp,Barometric_P,Headspace_equil_P,Headspace_vol,Liquid_vol,Final_Headspace_Mixing_CH4_ppm,Final_Headspace_Mixing_CO2_ppm,Source_Gas_Mixing_CH4_ppm,Source_Gas_Mixing_CO2_ppm,Headspace_Equil_Temp_K,Bunsen_Sol_CH4,Bunsen_Sol_CO2,Source_Gas_CH4_umol,Source_Gas_CO2_umol,Final_Headspace_CH4_umol,Final_Headspace_CO2_umol,Final_Liq_CH4_umol,Final_Liq_CO2_umol,Total_Gas_CH4_umol,Total_Gas_CO2_umol,Original_Liq_CH4_umol,Original_Liq_CO2_umol,Data_Flag
181,Deans,top,2,8/16/2022,68.2468,15.361,8220.5028,900.19,10/11/2022,EDC_A_12,NA,NA,0,low,28.98131252,1794.751895,14,0.93,0.93,0.02,0.04,28.98131252,1794.751895,0,1,287.15,0.039501213,1.046992657,0,0.039448543,1.143270562,70.80034784,0.045160574,74.12744431,0.024671834,4.381104729,0.616795855,109.507894,
182,Deans,top,3,8/16/2022,60.4512,13.493,7864.1696,862.7,10/11/2022,EDC_A_13,NA,NA,0,low,25.79447476,1713.950786,13.8,0.93,0.93,0.02,0.04,25.79447476,1713.950786,0,1,286.95,0.03968449,1.053751912,0,0.039476038,1.018263675,67.65998698,0.040409275,71.29684066,0.021981644,4.205073366,0.549541112,105.1070961,
183,Deans,top,1,8/16/2022,39.767,8.733,5516.798,621.756,10/11/2022,EDC_A_14,needle bent; don't include,NA,0,low,17.33878315,1181.667444,13.8,0.93,0.93,0.02,0.04,17.33878315,1181.667444,0,1,286.95,0.03968449,1.053751912,0,0.039476038,0.684466469,46.64754935,0.027162703,49.15494433,0.014775837,2.89914876,0.369395937,72.45898098,1
184,Deans,bottom,1,8/16/2022,116.6162,26.959,4269.8374,578.029,10/11/2022,EDC_A_15,split peak,NA,0,high,41.66484908,898.9101864,14.7,0.93,0.93,0.02,0.04,41.66484908,898.9101864,0,1,287.85,0.038872484,1.023833904,0,0.039352611,1.639620617,35.3744633,0.063736126,36.21757485,0.035341857,2.15619226,0.883546434,53.8851302,1
184,Deans,bottom,1,8/16/2022,102.7794,23.604,6363.4012,705.518,10/11/2022,EDC_A_15.01,NA,NA,0,high,38.73161006,1373.64079,14.7,0.93,0.93,0.02,0.04,38.73161006,1373.64079,0,1,287.85,0.038872484,1.023833904,0,0.039352611,1.524190002,54.05635229,0.059249051,55.34472618,0.032853762,3.294916093,0.821344052,82.35322602,
185,Deans,bottom,2,8/16/2022,125.3335,29.112,8218.4177,889.076,10/11/2022,EDC_A_16,NA,NA,0,high,43.51281426,1794.279083,14.7,0.93,0.93,0.02,0.04,43.51281426,1794.279083,0,1,287.85,0.038872484,1.023833904,0,0.039352611,1.712342873,70.6095676,0.06656302,72.29246923,0.036909378,4.303890121,0.922734457,107.5775767,
186,Deans,bottom,3,8/16/2022,121.7912,28.241,5986.618,665.064,10/11/2022,EDC_A_17,NA,NA,0,high,42.76188828,1288.202498,14.9,0.93,0.93,0.02,0.04,42.76188828,1288.202498,0,1,288.05,0.038696418,1.017356651,0,0.039325288,1.681623572,50.65893424,0.065072809,51.5382037,0.036235384,3.074706833,0.905884595,76.84800817,
187,Deans,outlet,1,8/16/2022,40.427,8.927,4468.9028,508.958,10/11/2022,EDC_A_18,NA,NA,0,low,17.60859085,944.0496933,14.8,0.93,0.93,0.02,0.04,17.60859085,944.0496933,0,1,287.95,0.038784255,1.020587642,0,0.039338945,0.692703387,37.13791895,0.026865985,37.90250113,0.014928707,2.258858424,0.373217678,56.45179114,
188,Deans,outlet,2,8/16/2022,40.1722,8.857,3857.1342,445.53,10/11/2022,EDC_A_19,NA,NA,0,low,17.50442873,805.3267764,15.1,0.93,0.93,0.02,0.04,17.50442873,805.3267764,0,1,288.25,0.038521911,1.010940138,0,0.039298002,0.687889083,31.64773364,0.026498802,31.99396421,0.014817734,1.912713241,0.370443344,47.79818203,
189,Deans,outlet,3,8/16/2022,19.1283,4.197,3756.942,434.238,10/11/2022,EDC_A_22,NA,NA,0,low,8.901691919,782.6074766,15.3,0.93,0.93,0.02,0.04,8.901691919,782.6074766,0,1,288.45,0.038348946,1.004583682,0,0.039270755,0.34957616,30.73358628,0.013405877,30.87445928,0.007527758,1.849650097,0.188193957,46.22161704,
190,Deans,inlet,1,8/16/2022,2575.8112,555.133,23905.3108,2287.716,10/11/2022,EDC_A_23,exceeds highest standard,NA,0,high,562.9852944,5351.394579,15.3,0.93,0.93,0.02,0.04,562.9852944,5351.394579,0,1,288.45,0.038348946,1.004583682,0,0.039270755,22.10885743,210.1533041,0.847851384,211.1165801,0.476091204,12.64772928,11.9022801,316.1735967,1
191,Deans,inlet,2,8/16/2022,4661.2406,982.849,36322.9594,3271.408,10/11/2022,EDC_A_24,exceeds highest standard,NA,0,high,1005.071824,8167.185442,15.4,0.93,0.93,0.02,0.04,1005.071824,8167.185442,0,1,288.55,0.038263037,1.001427765,0,0.039257145,39.45625039,320.6203837,1.509715969,321.0781544,0.849513647,19.25553385,21.23784117,481.3687176,1
192,Deans,inlet,3,8/16/2022,3256.5768,694.902,22834.327,2188.911,10/11/2022,EDC_A_25,exceeds highest standard,NA,0,high,707.2996028,5108.541323,15.8,0.93,0.93,0.02,0.04,707.2996028,5108.541323,0,1,288.95,0.037923178,0.988950902,0,0.039202801,27.72812523,200.2691264,1.051538625,198.0563332,0.59662405,11.92763585,14.91560124,298.171295,1
203,Sister3,inlet,1,8/23/2022,0,0,6114.6444,670.416,10/11/2022,EDC_A_26,NA,NA,0,low,1.082051524,1317.233402,14.4,0.93,0.93,0.02,0.04,1.082051524,1317.233402,0,1,287.55,0.039139537,1.03366518,0,0.039393668,0.042625978,51.8906552,0.001668361,53.63756347,0.000919254,3.183315643,0.02298135,79.56319424,
204,Sister3,inlet,2,8/23/2022,0,0,5296.612,588.335,10/11/2022,EDC_A_27,NA,NA,0,low,1.082051524,1131.73869,15.5,0.93,0.93,0.02,0.04,1.082051524,1131.73869,0,1,288.65,0.038177508,0.998286611,0,0.039243545,0.042463537,44.41343799,0.001621152,44.33734051,0.000914117,2.66176238,0.022852921,66.52443773,
205,Sister3,inlet,3,8/23/2022,0,0,"6,235",680.854,10/11/2022,EDC_A_28,NA,NA,0,low,1.082051524,1344.552244,15.2,0.93,0.93,0.02,0.04,1.082051524,1344.552244,0,1,288.35,0.038435237,1.007754445,0,0.039284374,0.042507717,52.81989305,0.001633794,53.22948202,0.000915506,3.185577142,0.022887652,79.61978636,
