Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CO2.curve,Measured.CH4.conc.ppm,Measured.CO2.conc.ppm,Sample.Vol,Final.Vol,Undiluted.CH4.conc.ppm,Undiluted.CO2.conc.ppm,Temp,Barometric_P,Headspace_equil_P,Headspace_vol,Liquid_vol,Final_Headspace_Mixing_CH4_ppm,Final_Headspace_Mixing_CO2_ppm,Source_Gas_Mixing_CH4_ppm,Source_Gas_Mixing_CO2_ppm,Headspace_Equil_Temp_K,Bunsen_Sol_CH4,Bunsen_Sol_CO2,Source_Gas_CH4_umol,Source_Gas_CO2_umol,Final_Headspace_CH4_umol,Final_Headspace_CO2_umol,Final_Liq_CH4_umol,Final_Liq_CO2_umol,Total_Gas_CH4_umol,Total_Gas_CO2_umol,Original_Liq_CH4_umol,Original_Liq_CO2_umol,Data_Flag
206,Sister3,bottom,1,8/23/2022,35.5316,8.378,314.161,34.981,10/12/2022,EDC_B_16,NA,NA,0,low,177.7365706,1432.092481,NA,NA,177.7365706,1432.092481,15,0.93,0.93,0.02,0.04,177.7365706,1432.092481,0,1,288.15,0.038608971,1.014140845,0,0.042270581,7.513028136,60.53538147,0.269765366,57.09400472,0.161051177,3.494467818,4.026279434,87.34056016,
207,Sister3,bottom,2,8/23/2022,20.772,5.061,223.199,25.545,10/12/2022,EDC_B_17,NA,NA,0,low,105.3736947,990.37957,NA,NA,105.3736947,990.37957,16,0.93,0.93,0.02,0.04,105.3736947,990.37957,0,1,289.15,0.037755488,0.982799407,0,0.042124392,4.438802829,41.7191373,0.155857926,38.13143538,0.095010374,2.359640161,2.37525934,58.96994183,
208,Sister3,bottom,3,8/23/2022,19.8148,4.85,239.8028,27.067,10/12/2022,EDC_B_20,NA,NA,0,low,100.6807663,1071.007885,NA,NA,100.6807663,1071.007885,16,0.93,0.93,0.02,0.04,100.6807663,1071.007885,0,1,289.15,0.037755488,0.982799407,0,0.042124392,4.241116073,45.11555605,0.148916629,41.23577383,0.090778987,2.551742074,2.269474666,63.77248966,
190,Deans,inlet,1,8/16/2022,60.4464,13.737,650.373,66.719,10/12/2022,EDC_B_21,NA,NA,0,low,299.8880233,3064.743271,NA,NA,299.8880233,3064.743271,15.3,0.93,0.93,0.02,0.04,299.8880233,3064.743271,0,1,288.45,0.038348946,1.004583682,0,0.042226618,12.66325701,129.4137434,0.451628982,120.9064495,0.271330299,7.424532846,6.783257486,185.5922079,
191,Deans,inlet,2,8/16/2022,110.5558,24.116,964.2036,94.456,10/12/2022,EDC_B_22,NA,NA,0,low,545.5627229,4588.709628,NA,NA,545.5627229,4588.709628,15.4,0.93,0.93,0.02,0.04,545.5627229,4588.709628,0,1,288.55,0.038263037,1.001427765,0,0.042211984,23.0292849,193.6985371,0.819488454,180.3968367,0.493365236,11.08984421,12.3341309,277.2249992,
192,Deans,inlet,3,8/16/2022,96.3228,21.195,839.2874,83.322,10/12/2022,EDC_B_23,NA,NA,0,low,475.7816439,3982.114585,NA,NA,475.7816439,3982.114585,15.8,0.93,0.93,0.02,0.04,475.7816439,3982.114585,0,1,288.95,0.037923178,0.988950902,0,0.042153549,20.05588481,167.860262,0.707342085,154.3851685,0.42941138,9.53261198,10.73528449,238.2942227,
226,Deans,inlet,1,8/31/2022,105.968,23.185,914.7454,89.661,10/12/2022,EDC_B_24,NA,NA,0,low,523.0698096,4348.539827,NA,NA,523.0698096,4348.539827,15.3,0.93,0.93,0.02,0.04,523.0698096,4348.539827,0,1,288.45,0.038348946,1.004583682,0,0.042226618,22.08746904,183.6241302,0.78773898,171.5531985,0.47325894,10.53461054,11.8314735,263.3441503,
227,Deans,inlet,2,8/31/2022,191.275,40.872,1524.7582,139.202,10/12/2022,EDC_B_27,NA,NA,0,low,941.3101317,7310.771632,NA,NA,941.3101317,7310.771632,15.3,0.93,0.93,0.02,0.04,941.3101317,7310.771632,0,1,288.45,0.038348946,1.004583682,0,0.042226618,39.74834336,308.7091611,1.417605585,288.4154928,0.851671091,17.71080293,21.29177727,442.74896,
228,Deans,inlet,3,8/31/2022,158.6528,34.093,1465.0256,134.168,10/12/2022,EDC_B_28,NA,NA,0,low,781.3710946,7020.709182,NA,NA,781.3710946,7020.709182,15.2,0.93,0.93,0.02,0.04,781.3710946,7020.709182,0,1,288.35,0.038435237,1.007754445,0,0.042241262,33.00610131,296.5636176,1.179795512,277.9428727,0.707313847,17.04898726,17.68284617,426.2035609,
231,Deans,outlet,3,8/31/2022,23.4947,5.742,314.7684,34.132,10/12/2022,EDC_B_29,NA,NA,0,low,118.7224577,1435.042025,NA,NA,118.7224577,1435.042025,16.2,0.93,0.93,0.02,0.04,118.7224577,1435.042025,0,1,289.35,0.037589272,0.976705012,0,0.042095275,4.997654565,60.4084894,0.174708121,54.87118513,0.106941416,3.403017193,2.673535403,85.05438219,1
276,Picks,top,1,9/13/2022,852.0005,173.267,1885.1788,164.252,10/12/2022,EDC_B_33,NA,NA,0,low,4180.693136,9060.979767,NA,NA,4180.693136,9060.979767,13.8,0.93,0.93,0.02,0.04,4180.693136,9060.979767,0,1,286.95,0.03968449,1.053751912,0,0.042447353,177.4593577,384.6146074,6.549417234,376.9181915,3.811163842,22.76901981,95.27909606,569.2042716,
277,Picks,top,2,9/13/2022,906.5927,183.893,1833.2309,160.373,10/12/2022,EDC_B_34,NA,NA,0,low,4448.345958,8808.719943,NA,NA,4448.345958,8808.719943,13.9,0.93,0.93,0.02,0.04,4448.345958,8808.719943,0,1,287.05,0.039592647,1.050364249,0,0.042432566,188.7547318,373.7765872,6.950168438,365.1194548,4.053101374,22.08030994,101.3275344,551.9865321,
278,Picks,top,3,9/13/2022,889.5736,180.538,1859.445,161.925,10/12/2022,EDC_B_35,NA,NA,0,low,4364.905281,8936.016027,NA,NA,4364.905281,8936.016027,14,0.93,0.93,0.02,0.04,4364.905281,8936.016027,0,1,287.15,0.039501213,1.046992657,0,0.042417788,185.149629,379.0460378,6.801680513,369.078329,3.975059801,22.34405392,99.37649502,558.580139,
279,Picks,bottom,1,9/13/2022,1750.8737,339.63,2651.9897,216.116,10/12/2022,EDC_B_36,NA,NA,0,high,8587.658762,13073.61645,NA,NA,8587.658762,13073.61645,13.9,0.93,0.93,0.02,0.04,8587.658762,13073.61645,0,1,287.05,0.039592647,1.050364249,0,0.042432566,364.3963941,554.7470881,13.41749842,541.8984531,7.824627819,32.77087989,195.6156955,819.2507809,
280,Picks,bottom,2,9/13/2022,873.332,177.041,1865.122,161.658,10/12/2022,EDC_B_39,NA,NA,0,low,4285.276504,8963.583629,NA,NA,4285.276504,8963.583629,14.2,0.93,0.93,0.02,0.04,4285.276504,8963.583629,0,1,287.35,0.039319568,1.040297321,0,0.042388265,181.6454363,379.9507588,6.642264651,367.5934335,3.898599312,22.30275252,97.46498281,557.5476188,
281,Picks,bottom,3,9/13/2022,759.2256,155.273,1760.6266,153.797,10/12/2022,EDC_B_40,NA,NA,0,low,3725.839442,8456.152314,NA,NA,3725.839442,8456.152314,14.1,0.93,0.93,0.02,0.04,3725.839442,8456.152314,0,1,287.25,0.039410188,1.043637045,0,0.042403022,157.9868505,358.5664096,5.790451016,348.0182648,3.39135505,21.09205878,84.78387626,527.2802681,
282,Picks,inlet,1,9/13/2022,103.6166,22.683,598.7557,60.252,10/12/2022,EDC_B_41,Needle bent,NA,0,low,511.5414439,2814.088845,NA,NA,511.5414439,2814.088845,16,0.93,0.93,0.02,0.04,511.5414439,2814.088845,0,1,289.15,0.037755488,0.982799407,0,0.042124392,21.54837234,118.5417818,0.756619464,108.3475974,0.461232225,6.704739533,11.53080563,167.5974261,
283,Picks,inlet,2,9/13/2022,81.7146,18.193,566.7817,57.353,10/12/2022,EDC_B_42,NA,NA,0,low,404.1610468,2658.822596,NA,NA,404.1610468,2658.822596,16,0.93,0.93,0.02,0.04,404.1610468,2658.822596,0,1,289.15,0.037755488,0.982799407,0,0.042124392,17.02503839,112.0012855,0.59779343,102.3695612,0.364412505,6.334808157,9.110312627,158.3491417,
284,Picks,inlet,3,9/13/2022,83.4702,18.555,628.1266,62.789,10/12/2022,EDC_B_43,NA,NA,0,low,412.7683441,2956.7144,NA,NA,412.7683441,2956.7144,15.8,0.93,0.93,0.02,0.04,412.7683441,2956.7144,0,1,288.95,0.037923178,0.988950902,0,0.042153549,17.39965059,124.6360052,0.613660541,114.6307674,0.372539434,7.0779508,9.313485838,176.9276932,
285,Picks,oulet,1,9/13/2022,2.0856,0.47,624.8756,61.994,10/12/2022,EDC_B_52,NA,NA,NA,low,13.7586343,2940.927493,NA,NA,13.7586343,2940.927493,16.8,0.93,0.93,0.02,0.04,13.7586343,2940.927493,0,1,289.95,0.037099314,0.958758113,0,0.042008167,0.577975005,123.5429727,0.019941503,110.1564795,0.01235716,6.877118634,0.308929005,171.9069618,
286,Picks,outlet,2,9/13/2022,1.3746,0.304,478.1517,48.813,10/12/2022,EDC_B_53,NA,NA,NA,low,10.27276715,2228.433914,NA,NA,10.27276715,2228.433914,16.8,0.93,0.93,0.02,0.04,10.27276715,2228.433914,0,1,289.95,0.037099314,0.958758113,0,0.042008167,0.431540116,93.61242358,0.014889153,83.46905367,0.009226368,5.211010618,0.230659211,130.2542614,
