"Vial","Site","Location","Rep","Collection.Date","CH4.area","CH4.hgt","CO2..area","CO2.hgt","Run.Date","File.name","Notes","dilution.sample.vol..ml.","dilution.status","CO2.curve","Measured.CH4.conc.ppm","Measured.CO2.conc.ppm","Sample.Vol","Final.Vol","Undiluted.CH4.conc.ppm","Undiluted.CO2.conc.ppm","Temp","Barometric_P","Headspace_equil_P","Headspace_vol","Liquid_vol","Final_Headspace_Mixing_CH4_ppm","Final_Headspace_Mixing_CO2_ppm","Source_Gas_Mixing_CH4_ppm","Source_Gas_Mixing_CO2_ppm","Headspace_Equil_Temp_K","Bunsen_Sol_CH4","Bunsen_Sol_CO2","Source_Gas_CH4_umol","Source_Gas_CO2_umol","Final_Headspace_CH4_umol","Final_Headspace_CO2_umol","Final_Liq_CH4_umol","Final_Liq_CO2_umol","Total_Gas_CH4_umol","Total_Gas_CO2_umol","Original_Liq_CH4_umol","Original_Liq_CO2_umol"
"0218","Deans","D3E",4,"8/30/2022",2377.4306,443.196,128.8876,15.12,"10/12/2022","EDC_B_54",NA,"1 mL into 10 glass syringe",1,"low",11659.52109,532.4019198,1,10,116595.2109,5324.019198,NA,0.93,0.93,0.02,0.04,116595.2109,5324.019198,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0219","Deans","1A-2C",NA,"8/31/2022",1933.2566,368.407,32.6583,4.341,"10/12/2022","EDC_B_55",NA,"1 mL into 10 glass syringe",1,"low",9481.839578,65.11091689,1,10,94818.39578,651.1091689,NA,0.93,0.93,0.02,0.04,94818.39578,651.1091689,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0220","Deans","2D-4A",NA,"8/31/2022",2087.518,395.082,38.986,5.146,"10/12/2022","EDC_B_56",NA,"1 mL into 10 glass syringe",1,"low",10238.14724,95.83832817,1,10,102381.4724,958.3832817,NA,0.93,0.93,0.02,0.04,102381.4724,958.3832817,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0221","Deans","4B-5A",NA,"8/31/2022",4433.4391,755.398,35.752,4.724,"10/12/2022","EDC_B_57",NA,"1 mL into 10 glass syringe",1,"low",21739.65118,80.13397302,1,10,217396.5118,801.3397302,NA,0.93,0.93,0.02,0.04,217396.5118,801.3397302,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0222","Deans","5B-5E",NA,"8/31/2022",3979.9503,691.157,38.2888,5.047,"10/12/2022","EDC_B_58",NA,"1 mL into 10 glass syringe",1,"low",19516.30137,92.45271395,1,10,195163.0137,924.5271395,NA,0.93,0.93,0.02,0.04,195163.0137,924.5271395,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0221","Deans","4B-5A",NA,"8/31/2022",1836.6786,351.68,11.8378,1.526,"10/12/2022","EDC_B_59","Rerun","0.2 mL into 10 glass syringe",1,"low",9008.340172,-35.99376044,0.2,10,450417.0086,-1799.688022,NA,0.93,0.93,0.02,0.04,450417.0086,-1799.688022,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0222","Deans","5B-5E",NA,"8/31/2022",1082.5272,215.613,5.294,0.654,"10/12/2022","EDC_B_61","Rerun","0.2 mL into 10 glass syringe",1,"low",5310.911773,-67.77055675,0.2,10,265545.5886,-3388.527837,NA,0.93,0.93,0.02,0.04,265545.5886,-3388.527837,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0223","Deans","Fresh bubbles",1,"8/31/2022",2310.3264,431.692,121.729,14.349,"10/12/2022","EDC_B_62",NA,"0.1 mL into 10 glass syringe",1,"low",11330.52485,497.639645,0.1,10,1133052.485,49763.9645,NA,0.93,0.93,0.02,0.04,1133052.485,49763.9645,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0224","Deans","Fresh bubbles",2,"8/31/2022",2134.5154,402.458,75.9841,9.482,"10/12/2022","EDC_B_63",NA,"0.1 mL into 10 glass syringe",1,"low",10468.56453,275.501687,0.1,10,1046856.453,27550.1687,NA,0.93,0.93,0.02,0.04,1046856.453,27550.1687,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0225","Deans","Fresh bubbles",3,"8/31/22",838.3701,169.406,17.9769,2.357,"10/12/2022","EDC_B_64",NA,"0.1 mL into 10 glass syringe",1,"low",4113.866464,-6.182193737,0.1,10,411386.6464,-618.2193737,NA,0.93,0.93,0.02,0.04,411386.6464,-618.2193737,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
