Vial,Site,Location,Rep,Collection.Date,CH4.area,CH4.hgt,CO2..area,CO2.hgt,Run.Date,File.name,Notes,dilution.sample.vol..ml.,dilution.status,CH4.curve,Measured.CH4.conc.ppm,Measured.CO2.conc.ppm,Temp,Barometric_P,Headspace_equil_P,Headspace_vol,Liquid_vol,Final_Headspace_Mixing_CH4_ppm,Final_Headspace_Mixing_CO2_ppm,Source_Gas_Mixing_CH4_ppm,Source_Gas_Mixing_CO2_ppm,Headspace_Equil_Temp_K,Bunsen_Sol_CH4,Bunsen_Sol_CO2,Source_Gas_CH4_umol,Source_Gas_CO2_umol,Final_Headspace_CH4_umol,Final_Headspace_CO2_umol,Final_Liq_CH4_umol,Final_Liq_CO2_umol,Total_Gas_CH4_umol,Total_Gas_CO2_umol,Original_Liq_CH4_umol,Original_Liq_CO2_umol,Data_Flag
254,Catfish,outlet,3,9/6/2022,152.3986,36.225,9408.8092,959.999,10/13/2022,EDC_C_55,NA,NA,0,high,50.37802489,2265.353262,14.6,0.93,0.93,0.02,0.04,50.37802489,2265.353262,0,1,287.75,0.038961105,1.027095522,0,0.042329341,2.132468611,95.89091145,0.077267501,91.59488697,0.045740072,5.581613708,1.143501806,139.519178,
255,Catfish,bottom,1,9/6/2022,14.4891,3.135,8178.8842,847.09,10/13/2022,EDC_C_56,NA,NA,0,high,21.29181288,1951.042762,14.4,0.93,0.93,0.02,0.04,21.29181288,1951.042762,0,1,287.55,0.039139537,1.03366518,0,0.042358783,0.901895275,82.6437964,0.03282878,79.44619369,0.019351057,4.830723676,0.483776418,120.7469125,
256,Catfish,bottom,2,9/6/2022,32.5105,7.177,10478.1672,1054.867,10/13/2022,EDC_C_57,NA,NA,0,high,25.09266969,2538.630453,15.3,0.93,0.93,0.02,0.04,25.09266969,2538.630453,0,1,288.45,0.038348946,1.004583682,0,0.042226618,1.059578578,107.1977784,0.037789361,100.1508992,0.022703146,6.149991538,0.56757865,153.7286751,
257,Catfish,bottom,3,9/6/2022,43.1427,9.568,14414.4518,1398.306,10/13/2022,EDC_C_58,NA,NA,0,high,27.33508535,3544.558118,14.8,0.93,0.93,0.02,0.04,27.33508535,3544.558118,0,1,287.95,0.038784255,1.020587642,0,0.042299941,1.156272493,149.9345987,0.041706006,142.3099007,0.02479369,8.691088001,0.619842252,217.2560501,
258,Catfish,top,1,9/6/2022,36.006,7.948,9515.4748,966.08,10/13/2022,EDC_C_59,NA,NA,0,high,25.82989848,2292.611931,14.9,0.93,0.93,0.02,0.04,25.82989848,2292.611931,0,1,288.05,0.038696418,1.017356651,0,0.042285256,1.092223867,96.94368221,0.039306591,91.72245891,0.023416741,5.607772001,0.585418525,140.1731574,
259,Catfish,top,2,9/6/2022,36.6726,8.083,9084.2972,927.616,10/13/2022,EDC_C_60,NA,NA,0,high,25.97048973,2182.423385,15.3,0.93,0.93,0.02,0.04,25.97048973,2182.423385,0,1,288.45,0.038348946,1.004583682,0,0.042226618,1.096645949,92.15635862,0.039111351,86.0982599,0.023497373,5.287057569,0.587434326,132.1553259,
260,Catfish,top,3,9/6/2022,35.9188,7.952,9795.9038,991.109,10/13/2022,EDC_C_61,unable to check graph curve,NA,0,high,25.8115073,2364.276284,15.3,0.93,0.93,0.02,0.04,25.8115073,2364.276284,0,1,288.45,0.038348946,1.004583682,0,0.042226618,1.089932659,99.83539152,0.038871925,93.27249487,0.02335353,5.727607625,0.583838255,143.1690773,
287,Picks,outlet,3,9/13/2022,30.695,6.723,12305.9535,1212.823,10/13/2022,EDC_C_62,NA,NA,0,high,24.70976628,3005.725948,16.5,0.93,0.93,0.02,0.04,24.70976628,3005.725948,0,1,289.65,0.037342677,0.967669092,0,0.042051676,1.039087087,126.3958138,0.036086133,113.7476699,0.022225187,7.077823072,0.555629676,176.924551,
294,Catfish,outlet,1,9/19/2022,451.1946,110.855,9851.6088,994.902,10/13/2022,EDC_C_63,hard to pull?,NA,0,high,113.3964812,2378.51184,15.5,0.93,0.93,0.02,0.04,113.3964812,2378.51184,0,1,288.65,0.038177508,0.998286611,0,0.04219736,4.785032141,100.3669204,0.169892958,93.18130615,0.102496361,5.734590654,2.562409029,143.3436677,
295,Catfish,outlet,2,9/19/2022,665.6629,160.441,9346.41,949.188,10/13/2022,EDC_C_64,hard to pull?,NA,0,high,158.6295539,2249.406986,15.8,0.93,0.93,0.02,0.04,158.6295539,2249.406986,0,1,288.95,0.037923178,0.988950902,0,0.042153549,6.686798663,94.82048747,0.235833729,87.20871013,0.143169322,5.384758154,3.579233061,134.5978771,
